host_is_superhost,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,price
0,1,Apartment,Entire home/apt,4,1,1,3,Real Bed,192,91,9,10,10,9,9,strict,88
0,1,Apartment,Private room,2,1,1,0,Real Bed,21,97,10,10,10,9,9,moderate,65
0,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,89,96,10,10,10,10,9,strict,100
0,1,Apartment,Entire home/apt,6,2,3,3,Real Bed,42,94,9,9,9,10,9,strict,300
1,0,House,Private room,2,1.5,1,0,Real Bed,129,96,10,10,10,9,10,strict,29
1,1,House,Entire home/apt,5,1.5,3,3,Real Bed,77,97,10,10,10,10,9,moderate,195
1,0,House,Private room,2,0,1,0,Real Bed,528,97,10,10,10,10,10,strict,72
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,52,97,9,10,10,10,10,strict,80
0,0,House,Private room,2,1,1,1,Real Bed,55,96,10,10,10,9,10,strict,70
0,0,Apartment,Entire home/apt,2,1,1,0,Real Bed,137,95,10,10,10,10,10,strict,65
1,1,House,Private room,2,1,1,1,Real Bed,366,95,10,10,10,9,10,moderate,62
1,1,House,Entire home/apt,10,2,5,6,Real Bed,35,97,9,10,10,9,9,strict,296
0,0,Apartment,Private room,2,1,1,2,Futon,10,90,7,10,10,9,9,moderate,39
1,0,House,Private room,2,1.5,1,1,Real Bed,84,98,10,10,10,9,10,strict,25
0,1,Apartment,Entire home/apt,4,1,2,3,Real Bed,21,91,9,10,9,9,9,strict,105
1,1,Apartment,Private room,4,1,1,3,Real Bed,71,90,9,10,10,10,9,moderate,49
1,1,Apartment,Private room,1,1.5,1,1,Real Bed,92,94,10,10,10,10,10,strict,60
1,1,Apartment,Private room,3,1.5,1,0,Real Bed,167,96,10,10,10,10,10,moderate,60
1,0,House,Private room,2,1,1,1,Real Bed,511,98,10,10,10,10,10,strict,45
1,1,House,Private room,2,1,1,1,Real Bed,197,94,10,10,10,9,10,strict,36
1,1,Apartment,Entire home/apt,2,1,1,1,Real Bed,105,97,10,10,10,9,9,moderate,100
0,0,Apartment,Private room,2,2,1,1,Real Bed,35,97,9,10,10,10,9,flexible,65
0,0,Apartment,Private room,2,1,1,1,Real Bed,10,92,9,9,9,9,10,strict,55
0,1,Apartment,Entire home/apt,4,1,1,2,Real Bed,102,96,9,10,10,10,9,flexible,125
1,0,Apartment,Private room,1,1,1,1,Real Bed,373,96,10,10,10,10,10,strict,39
0,0,Apartment,Entire home/apt,2,1,1,1,Real Bed,66,95,10,9,10,10,9,strict,78
